[2023-05-17 22:14:15][[common_init-c]][SqlConnect] {"host":"127.0.0.1","user":"root"}
[2023-05-17 22:14:15][[common_init-c]][SqlQuery] {"query":"use hd_game70","use_time":0.010000228881836,"size":13}
[2023-05-17 22:14:15][[common_init-c]][SqlQuery] {"query":"SET NAMES utf8mb4","use_time":0,"size":17}
[2023-05-17 22:14:15][[common_init-c]][SqlQuery] {"query":"select count(*) from t_uuid_alloc","use_time":0,"size":33}
[2023-05-17 22:14:15][[common_init-c]][SqlQuery] {"query":"insert t_uuid_alloc (rand_key) values (\"2BBNogQmhjCM63CB\")","use_time":0.0099999904632568,"size":58}
[2023-05-17 22:14:15][[common_init-c]][SqlQuery] {"query":"select * from t_uuid_alloc where rand_key='2BBNogQmhjCM63CB'","use_time":0,"size":60}
[2023-05-17 22:14:15][[common_init-c]][SqlClose] {"host":"127.0.0.1","user":"root"}
[2023-05-17 22:14:19][[game_database-10]][SqlConnect] {"host":"127.0.0.1","user":"root"}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"use hd_game70","use_time":0,"size":13}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"SET NAMES utf8mb4","use_time":0,"size":17}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select count(*) from t_lua_schema","use_time":0.0099999904632568,"size":33}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_lua_schema where name='t_Party'","use_time":0,"size":47}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select count(*) from t_lua_schema","use_time":0.0099999904632568,"size":33}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_lua_schema where name='t_Salon'","use_time":0,"size":47}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select count(*) from t_lua_schema","use_time":0,"size":33}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_lua_schema where name='t_ServerCore'","use_time":0,"size":52}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select count(*) from t_lua_schema","use_time":0,"size":33}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_lua_schema where name='t_DynastyCompete'","use_time":0.0099999904632568,"size":56}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select count(*) from t_lua_schema","use_time":0,"size":33}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_lua_schema where name='t_ChildPropose'","use_time":0,"size":54}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select count(*) from t_lua_schema","use_time":0,"size":33}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_lua_schema where name='t_Rank'","use_time":0,"size":46}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_ChildPropose","use_time":0,"size":28}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_Salon","use_time":0,"size":21}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_Party","use_time":0.0099999904632568,"size":21}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_ServerCore where server_name='s70'","use_time":0,"size":50}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select count(*) from t_lua_schema","use_time":0,"size":33}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_lua_schema where name='t_DynastyRank'","use_time":0,"size":53}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select count(*) from t_lua_schema","use_time":0,"size":33}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_lua_schema where name='t_Dynasty'","use_time":0,"size":49}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_DynastyRank where rank_name='compete_mark_dynasty_rank'","use_time":0,"size":71}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_DynastyRank where rank_name='cross_boss_honour_dynasty_rank'","use_time":0,"size":76}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_Rank where rank_name='cross_score_rank'","use_time":0,"size":55}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_Rank where rank_name='compete_mark_role_rank'","use_time":0,"size":61}
[2023-05-17 22:14:19][[game_database-10]][SqlQuery] {"query":"select * from t_Rank where rank_name='cross_fight_score_rank'","use_time":0,"size":61}
